Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,TNFRSF10A,Tumor necrosis factor receptor superfamily member 10A,22722,672,2.00 [1.74-2.30],2.7889139025393333e-22
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,TNFRSF10B,Tumor necrosis factor receptor superfamily member 10B,22722,672,1.35 [1.24-1.46],2.924841924378922e-12
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A,23192,682,1.77 [1.52-2.07],4.1473888495567733e-13
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,TNFRSF12A,Tumor necrosis factor receptor superfamily member 12A,22980,680,1.81 [1.53-2.14],2.3634683537603575e-12
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,TNFRSF14,Tumor necrosis factor receptor superfamily member 14,22926,677,2.11 [1.74-2.56],3.744206004324e-14
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,TNFRSF19,Tumor necrosis factor receptor superfamily member 19,23119,682,1.76 [1.47-2.10],4.947582737100745e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,TNFRSF1A,Tumor necrosis factor receptor superfamily member 1A,22933,677,2.34 [1.94-2.81],1.094117073052095e-19
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,TNFRSF1B,Tumor necrosis factor receptor superfamily member 1B,22933,677,1.69 [1.52-1.88],4.158014556437574e-22
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,TNFRSF21,Tumor necrosis factor receptor superfamily member 21,23132,682,2.06 [1.65-2.56],1.2412899853694335e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,TNFRSF4,Tumor necrosis factor receptor superfamily member 4,23154,681,1.88 [1.61-2.20],7.513551872131964e-16
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,TNFRSF6B,Tumor necrosis factor receptor superfamily member 6B,22722,672,1.40 [1.26-1.55],4.4573222793822924e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,TNFRSF8,Tumor necrosis factor receptor superfamily member 8,23132,682,1.57 [1.38-1.79],1.1929418483128187e-11
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,TNFRSF9,Tumor necrosis factor receptor superfamily member 9,22722,672,1.51 [1.34-1.71],3.188529856226177e-11
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,TREM2,Triggering receptor expressed on myeloid cells 2,22890,676,1.42 [1.26-1.59],1.131506630138699e-08
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,ULBP2,UL16-binding protein 2,22722,672,1.86 [1.59-2.18],2.0267739577556297e-14
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,VCAM1,Vascular cell adhesion protein 1,23003,684,2.07 [1.66-2.60],1.9892638006801576e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,VSIG2,V-set and immunoglobulin domain-containing protein 2,19787,568,1.55 [1.39-1.72],1.0082490534456978e-15
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,VSIG4,V-set and immunoglobulin domain-containing protein 4,22902,675,1.77 [1.52-2.05],1.1858505793245121e-13
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,WFDC2,WAP four-disulfide core domain protein 2,21768,646,1.82 [1.58-2.09],3.498244509149257e-17
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,YAP1,Transcriptional coactivator YAP1,19807,579,2.05 [1.62-2.61],3.6853757189100877e-09
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,ZBTB17,Zinc finger and BTB domain-containing protein 17,22512,671,1.41 [1.24-1.59],4.5191330153819056e-08
