Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SMOC1,SPARC-related modular calcium-binding protein 1,26110,142,2.50 [1.64-3.80],1.858563842596248e-05
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SMOC2,SPARC-related modular calcium-binding protein 2,26010,141,1.21 [0.83-1.78],0.3221197483638081
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SMPD1,Sphingomyelin phosphodiesterase,25991,143,1.39 [1.04-1.88],0.0286104597715233
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SMPD3,Sphingomyelin phosphodiesterase 3,21938,122,0.83 [0.58-1.19],0.3143305367069764
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SMPDL3A,Acid sphingomyelinase-like phosphodiesterase 3a,25972,141,1.12 [0.88-1.41],0.3584930206007384
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SMPDL3B,Acid sphingomyelinase-like phosphodiesterase 3b,22456,127,1.04 [0.84-1.28],0.7169182745540189
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SMS,Spermine synthase,21845,122,1.15 [0.91-1.47],0.246786471190074
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SMTN,Smoothelin,22490,126,1.18 [1.00-1.39],0.0442999520649518
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SNAP23,Synaptosomal-associated protein 23,25898,143,1.10 [0.92-1.30],0.2933236627245745
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SNAP25,Synaptosomal-associated protein 25,21845,122,0.84 [0.58-1.22],0.3622675359627457
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SNAP29,Synaptosomal-associated protein 29,25985,142,1.17 [0.99-1.38],0.0583963255405949
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SNAPIN,SNARE-associated protein Snapin,22551,127,1.19 [0.90-1.59],0.228735518158104
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SNCA,Alpha-synuclein,22091,126,1.18 [1.02-1.37],0.0301654012634848
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SNCG,Gamma-synuclein,25713,140,0.93 [0.74-1.16],0.5024156631935577
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SNED1,"Sushi, nidogen and EGF-like domain-containing protein 1",22009,127,1.00 [0.60-1.66],0.9998600123904524
