Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,APOL1,Apolipoprotein L1,16888,517,1.05 [0.93-1.19],0.409186637670586
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,APOM,Apolipoprotein M,19390,603,0.95 [0.73-1.25],0.7199200669599716
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,APP,Amyloid-beta precursor protein,19317,603,1.07 [0.97-1.19],0.1936410761149421
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,APPL2,DCC-interacting protein 13-beta,16514,510,1.00 [0.93-1.08],0.9624066839776202
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,APRT,Adenine phosphoribosyltransferase,19203,598,0.97 [0.84-1.13],0.7005988290647168
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ARAF,Serine/threonine-protein kinase A-Raf,16560,508,1.01 [0.89-1.15],0.8743045229020584
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,AREG,Amphiregulin,19270,601,1.01 [0.87-1.17],0.9164916954861612
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ARF6,ADP-ribosylation factor 6,16790,513,1.05 [0.96-1.13],0.2789701574482935
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ARFIP1,Arfaptin-1,16850,518,1.00 [0.88-1.13],0.985105773932626
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ARG1,Arginase-1,19261,600,1.04 [0.91-1.19],0.5495868707505094
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ARG2,"Arginase-2, mitochondrial",16777,512,0.87 [0.71-1.07],0.183429199618021
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ARHGAP1,Rho GTPase-activating protein 1,18914,584,0.97 [0.83-1.14],0.7248811971658807
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ARHGAP25,Rho GTPase-activating protein 25,18914,584,0.90 [0.79-1.03],0.1194088531469754
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ARHGAP30,Rho GTPase-activating protein 30,16560,508,0.91 [0.72-1.15],0.4181469682179674
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ARHGAP45,Rho GTPase-activating protein 45,16514,510,0.98 [0.88-1.09],0.6964862868712784
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ARHGAP5,Rho GTPase-activating protein 5,16283,511,0.96 [0.86-1.08],0.5203263262280386
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ARHGEF1,Rho guanine nucleotide exchange factor 1,16841,519,1.00 [0.91-1.10],0.9808478235565864
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ARHGEF10,Rho guanine nucleotide exchange factor 10,16850,518,1.05 [0.96-1.15],0.2772642065022273
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ARHGEF12,Rho guanine nucleotide exchange factor 12,19319,602,0.99 [0.92-1.06],0.6879291466566819
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ARHGEF5,Rho guanine nucleotide exchange factor 5,16336,508,0.98 [0.87-1.10],0.7001587531654458
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ARID3A,AT-rich interactive domain-containing protein 3A,16336,508,0.96 [0.77-1.19],0.7155971849209841
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ARID4B,AT-rich interactive domain-containing protein 4B,18914,591,0.82 [0.67-1.00],0.0446695025555411
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ARL13B,ADP-ribosylation factor-like protein 13B,16349,514,1.02 [0.91-1.15],0.7329430709309132
