Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,TIMP3,Metalloproteinase inhibitor 3,19425,261,0.96 [0.88-1.04],0.2896340750372453
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,TIMP4,Metalloproteinase inhibitor 4,19362,258,0.89 [0.67-1.17],0.3974359139869264
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,TINAGL1,Tubulointerstitial nephritis antigen-like,19263,255,0.54 [0.32-0.90],0.0187400545467551
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,TJAP1,Tight junction-associated protein 1,19414,261,0.94 [0.82-1.07],0.3625760491028231
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,TJP3,Tight junction protein ZO-3,16351,197,0.86 [0.60-1.23],0.3977408621342239
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,TK1,"Thymidine kinase, cytosolic",16582,200,1.09 [0.82-1.45],0.5400683481318738
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,TLR1,Toll-like receptor 1,16387,200,1.33 [0.82-2.16],0.2527429149655858
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,TLR2,Toll-like receptor 2,16582,200,1.34 [0.75-2.38],0.32799538585714
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,TLR3,Toll-like receptor 3,19525,260,1.06 [0.88-1.27],0.5203845222690183
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,TLR4,Toll-like receptor 4,16387,200,1.00 [0.62-1.60],0.9875577618056852
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,TMCO5A,Transmembrane and coiled-coil domain-containing protein 5A,16427,196,0.92 [0.71-1.21],0.5635300728955843
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,TMED1,Transmembrane emp24 domain-containing protein 1,16582,200,1.21 [0.98-1.50],0.073473046021914
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,TMED10,Transmembrane emp24 domain-containing protein 10,16308,197,1.00 [0.74-1.35],0.9994505312666035
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,TMED4,Transmembrane emp24 domain-containing protein 4,16308,197,0.96 [0.74-1.23],0.7333862121790302
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,TMED8,Protein TMED8,16800,202,1.06 [0.93-1.21],0.4099409509294712
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,TMEM106A,Transmembrane protein 106A,16806,202,1.17 [0.97-1.40],0.0970881982163182
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,TMEM132A,Transmembrane protein 132A,16462,197,0.85 [0.68-1.06],0.14981361517184
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,TMEM25,Transmembrane protein 25,16848,200,1.09 [0.82-1.44],0.5558220652319464
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,TMOD4,Tropomodulin-4,16265,197,1.28 [0.94-1.75],0.1114808397032528
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,TMPRSS11B,Transmembrane protease serine 11B,16351,197,0.95 [0.79-1.15],0.5911150116385036
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,TMPRSS11D,Transmembrane protease serine 11D,16837,198,1.18 [0.84-1.65],0.3462098360541392
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,TMPRSS15,Enteropeptidase,19247,258,1.07 [0.95-1.20],0.2872791349029251
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,TMPRSS5,Transmembrane protease serine 5,19076,250,1.09 [0.81-1.47],0.5637795307270217
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,TMSB10,Thymosin beta-10,19362,258,1.06 [0.91-1.23],0.472550780903193
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,TNC,Tenascin,19437,260,1.04 [0.83-1.30],0.7595494926684294
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,TNF,Tumor necrosis factor,18930,248,0.97 [0.71-1.32],0.8362986088910793
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,TNFAIP2,Tumor necrosis factor alpha-induced protein 2,16800,202,1.12 [0.84-1.48],0.4446039287562701
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,TNFAIP8,Tumor necrosis factor alpha-induced protein 8,18977,251,1.03 [0.76-1.39],0.843957721042109
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,TNFAIP8L2,Tumor necrosis factor alpha-induced protein 8-like protein 2,16532,198,1.11 [0.89-1.37],0.3499583518308666
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,TNFRSF10A,Tumor necrosis factor receptor superfamily member 10A,19160,253,0.94 [0.67-1.33],0.7355844052445275
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,TNFRSF10B,Tumor necrosis factor receptor superfamily member 10B,19160,253,1.18 [0.93-1.49],0.1712809041452593
