Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD38,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,46038,4411,1.27 [1.17-1.38],2.7638009766818466e-08
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD3D,T-cell surface glycoprotein CD3 delta chain,38941,3703,1.04 [0.95-1.14],0.3754156629646666
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD3E,T-cell surface glycoprotein CD3 epsilon chain,39487,3726,1.05 [0.97-1.15],0.2296854534207095
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD3G,T-cell surface glycoprotein CD3 gamma chain,39057,3704,1.00 [0.97-1.04],0.875524673949155
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD4,T-cell surface glycoprotein CD4,46086,4426,1.20 [1.10-1.30],1.6710434323520458e-05
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD40,Tumor necrosis factor receptor superfamily member 5,46223,4449,1.12 [1.06-1.18],2.384769764845809e-05
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD40LG,CD40 ligand,46736,4476,1.01 [0.97-1.04],0.6900371336409727
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD46,Membrane cofactor protein,45958,4437,1.22 [1.11-1.34],2.287047530457186e-05
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD48,CD48 antigen,46376,4458,1.14 [1.04-1.25],0.0038397143239829
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD5,T-cell surface glycoprotein CD5,46575,4471,1.20 [1.11-1.29],1.5568265263630292e-06
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD55,Complement decay-accelerating factor,44629,4295,1.12 [1.01-1.24],0.0337989642373559
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD58,Lymphocyte function-associated antigen 3,46144,4438,0.86 [0.74-1.00],0.0477476957435247
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD59,CD59 glycoprotein,44555,4272,1.34 [1.19-1.50],9.639970462359905e-07
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD5L,CD5 antigen-like,40047,3813,1.10 [1.03-1.17],0.0050935203918893
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD6,T-cell differentiation antigen CD6,46660,4473,0.99 [0.94-1.04],0.7179762418638875
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD63,CD63 antigen,45811,4388,1.02 [0.96-1.07],0.5768586743848324
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD69,Early activation antigen CD69,45995,4437,1.02 [0.99-1.05],0.3117590888263828
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD7,T-cell antigen CD7,38985,3700,1.14 [1.06-1.23],0.0002173900677103
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD70,CD70 antigen,46162,4431,1.20 [1.13-1.28],3.435274540777052e-09
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD72,B-cell differentiation antigen CD72,39316,3732,1.20 [1.12-1.29],6.355999263340364e-07
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD74,HLA class II histocompatibility antigen gamma chain,46644,4483,1.32 [1.23-1.42],2.3827620655598504e-13
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD79B,B-cell antigen receptor complex-associated protein beta chain,46736,4476,1.20 [1.13-1.27],5.006801192638283e-10
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD80,T-lymphocyte activation antigen CD80,40202,3820,1.22 [1.12-1.34],1.1497940111781347e-05
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD82,CD82 antigen,39487,3726,1.03 [0.96-1.11],0.4095652479574095
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD83,CD83 antigen,46162,4431,1.31 [1.21-1.41],5.541526248408156e-12
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD84,SLAM family member 5,46162,4431,1.10 [1.01-1.19],0.0313415010990189
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD86,T-lymphocyte activation antigen CD86,40052,3794,0.97 [0.87-1.07],0.5125058823745912
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD8A,T-cell surface glycoprotein CD8 alpha chain,46644,4483,1.04 [0.99-1.10],0.1012571974943552
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD93,Complement component C1q receptor,44473,4275,1.06 [0.97-1.16],0.1887152908715586
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD99,CD99 antigen,46237,4450,1.09 [0.95-1.25],0.2189829378724141
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD99L2,CD99 antigen-like protein 2,46237,4450,1.38 [1.24-1.54],7.570216919879654e-09
