Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CHCHD10,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial",22535,53,2.91 [1.97-4.31],9.710858812011688e-08
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CHCHD6,MICOS complex subunit MIC25,22464,52,2.15 [1.31-3.53],0.0023585675094565
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CHGA,Chromogranin-A,22584,54,1.89 [1.57-2.27],9.011815441937552e-12
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CHGB,Secretogranin-1,26085,57,1.73 [1.03-2.90],0.0388032910074902
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CHI3L1,Chitinase-3-like protein 1,25389,54,1.70 [1.33-2.17],1.9648430406876344e-05
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CHIT1,Chitotriosidase-1,26055,56,1.41 [1.09-1.83],0.0080742015212844
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CHP1,Calcineurin B homologous protein 1,21853,52,1.38 [1.09-1.76],0.008184753435193
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CHRDL1,Chordin-like protein 1,26041,56,3.48 [1.73-6.98],0.0004474981595431
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CHRDL2,Chordin-like protein 2,25954,56,1.80 [1.21-2.67],0.0034237823569041
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CILP,Cartilage intermediate layer protein 1,22584,54,2.49 [1.59-3.91],6.551112899150138e-05
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CIT,Citron Rho-interacting kinase,21941,53,1.80 [1.25-2.58],0.001577185918008
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CKAP4,Cytoskeleton-associated protein 4,26094,55,3.99 [2.34-6.80],3.656130280648114e-07
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CKB,Creatine kinase B-type,22584,54,2.07 [1.37-3.13],0.0005904387015865
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CLC,Galectin-10,25916,56,1.59 [1.21-2.10],0.0009973389499427
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CLEC11A,C-type lectin domain family 11 member A,25909,57,1.83 [1.13-2.96],0.0143140359410557
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CLEC12A,C-type lectin domain family 12 member A,21951,54,3.29 [1.67-6.49],0.0005966272747466
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CLEC14A,C-type lectin domain family 14 member A,25957,57,2.81 [1.47-5.37],0.0017835842143367
