Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,IL2RG,Cytokine receptor common subunit gamma,31548,0.0426532422701747,0.0456547929873098,-0.0468301519849526,0.132136636525302,0.350201445405997
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,LEFTY2,Left-right determination factor 2,32786,0.062414143869572,0.0668068908027504,-0.0685273621038188,0.193355649842963,0.350201717912642
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,AGRN,Agrin,32756,0.0371455272925122,0.0397794729801306,-0.0408222397485438,0.115113294333568,0.350439476534305
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,TPT1,Translationally-controlled tumor protein,32596,0.0714313869174074,0.0765286160233894,-0.0785647004884358,0.221427474323251,0.35064213169502
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,XIAP,E3 ubiquitin-protein ligase XIAP,31355,0.0658902772821673,0.0705945990689034,-0.0724751368928834,0.204255691457218,0.35066344448921
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,CTSD,Cathepsin D,32150,-0.0437917164995649,0.0469224030284354,-0.135759626435298,0.0481761934361684,0.350702861374796
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,HSP90B1,Endoplasmin,32458,-0.0760599953173847,0.0815047349946163,-0.235809275906833,0.0836892852720632,0.350744334320021
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,ARHGAP45,Rho GTPase-activating protein 45,31417,0.0926642283137053,0.0994101828553814,-0.102179730082842,0.287508186710253,0.351293850695309
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,CYP24A1,"1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial",31313,0.096634959141629,0.103682876056876,-0.106583477929848,0.299853396213106,0.351354161733391
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,RNASET2,Ribonuclease T2,32787,-0.0288736521857876,0.0309938264565452,-0.0896215520406162,0.0318742476690409,0.351571754569715
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,GOPC,Golgi-associated PDZ and coiled-coil motif-containing protein,32728,0.114541811608525,0.122964384757243,-0.126468382515672,0.355552005732722,0.351618294052943
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,APBB1IP,Amyloid beta A4 precursor protein-binding family B member 1-interacting protein,32668,0.0522322540201162,0.0561277464367273,-0.0577781289958692,0.162242637036102,0.352088109997994
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,C1QBP,"Complement component 1 Q subcomponent-binding protein, mitochondrial",31555,-0.0708596262171092,0.0761655065468717,-0.220144019048978,0.0784247666147594,0.352225557078073
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,KLRC1,NKG2-A/NKG2-B type II integral membrane protein,31342,-0.0689862457683496,0.0741835202085226,-0.214385945377054,0.0764134538403548,0.352431992352579
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,TFF1,Trefoil factor 1,32679,-0.0843795985581702,0.0907421429838841,-0.262234198806583,0.0934750016902427,0.352456989756156
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,ST3GAL1,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1",32668,-0.0476422535732014,0.051245563538442,-0.148083558108548,0.0527990509621448,0.352559460298507
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,S100A14,Protein S100-A14,31555,-0.0558491608833178,0.0600793703925721,-0.173604726852759,0.0619064050861235,0.352612748042397
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,KLK13,Kallikrein-13,32507,-0.0474615570840635,0.051067929414602,-0.147554698736683,0.0526315845685563,0.35271767716135
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,S100A12,Protein S100-A12,32581,0.0839565359795919,0.0903420976896939,-0.0931139754922081,0.261027047451392,0.352750039684836
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,SAT2,Thialysine N-epsilon-acetyltransferase,31456,-0.0773365726266281,0.0833802266417947,-0.240761816844546,0.0860886715912895,0.353687670482599
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,SIGLEC9,Sialic acid-binding Ig-like lectin 9,32785,-0.0346769867401735,0.0373958784438494,-0.107972908490118,0.0386189350097714,0.353798802869446
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,DNAJA2,DnaJ homolog subfamily A member 2,32801,0.0926498944924167,0.0999192232243613,-0.103191783027331,0.288491572012165,0.353822843105063
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,HEXIM1,Protein HEXIM1,32728,0.0909586118700035,0.0981555132143949,-0.10142619403021,0.283343417770217,0.354118659111341
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,DTX3,Probable E3 ubiquitin-protein ligase DTX3,32668,-0.0263757654707875,0.0285216676144736,-0.0822782339951559,0.0295267030535808,0.355114853025494
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,SETMAR,Histone-lysine N-methyltransferase SETMAR,32618,-0.0345741307282913,0.0373885859164499,-0.107855759124533,0.0387074976679505,0.355134858403023
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,OLR1,Oxidized low-density lipoprotein receptor 1,32653,0.0693723033935475,0.07504142026658,-0.0777088803289492,0.216453487116044,0.355275620883041
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,ARSB,Arylsulfatase B,32668,0.0621170556768625,0.0672949788522189,-0.0697811028734865,0.194015214227212,0.356003139175385
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,SERPINB9,Serpin B9,32647,0.0367805047834619,0.0399111690297353,-0.0414453865148193,0.115006396081743,0.356783852161914
