Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Blood and urine assays,X30290.High light scatter reticulocyte percentage,47246,0.0257338823871096,0.00357948067006774,0.0187181002737768,0.0327496645004424,6.71437749237955e-13
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Blood and urine assays,X30300.High light scatter reticulocyte count,47246,0.0285635325237931,0.00366909950661554,0.0213720974908267,0.0357549675567596,7.27331902894223e-15
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Blood and urine assays,X30500.Microalbumin in urine,31139,0.0232956121822447,0.00665230581325624,0.0102570927882625,0.036334131576227,0.000464995418552645
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Blood and urine assays,X30510.Creatinine (enzymatic) in urine,47729,0.00434672611210739,0.00348991855630681,-0.00249351425825396,0.0111869664824687,0.212957126320885
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Blood and urine assays,X30520.Potassium in urine,47686,-0.000529596780108334,0.00324823770537817,-0.00689614268264956,0.00583694912243289,0.870487363624227
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Blood and urine assays,X30530.Sodium in urine,47660,0.00649051845700689,0.00341698040601613,-0.000206763138784729,0.0131878000527985,0.0575125295368297
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Blood and urine assays,X30600.Albumin,45256,0.0117700849487367,0.0035764963407704,0.00476015212082672,0.0187800177766467,0.00100014381394135
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Blood and urine assays,X30610.Alkaline phosphatase,47309,0.0239453128667286,0.00339768399263594,0.0172858522411621,0.030604773492295,1.87283466919842e-12
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Blood and urine assays,X30620.Alanine aminotransferase,47318,0.0151802476021939,0.00354283994974519,0.00823628130069329,0.0221242139036944,1.83677214126682e-05
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Blood and urine assays,X30630.Apolipoprotein A,45054,-0.0169569051978216,0.00393809251365623,-0.0246755665245878,-0.00923824387105542,1.6710107185255e-05
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Blood and urine assays,X30640.Apolipoprotein B,47217,0.041293619413149,0.00337097732354135,0.0346865038590079,0.0479007349672901,2.16270017148842e-34
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Blood and urine assays,X30650.Aspartate aminotransferase,47250,0.00444068365461725,0.00342073489813458,-0.00226395674572653,0.011145324054961,0.194243238908428
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Blood and urine assays,X30660.Direct bilirubin,42215,-0.0214888058603207,0.00381286004556923,-0.0289620115496364,-0.014015600171005,1.76814490459481e-08
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Blood and urine assays,X30670.Urea,47307,-0.00285788603264675,0.00356006340252413,-0.00983561030159405,0.00411983823630054,0.422120265068797
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Blood and urine assays,X30680.Calcium,45257,0.0263342637806087,0.00343215391766972,0.019607242101976,0.0330612854592413,1.75657459053976e-14
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Blood and urine assays,X30690.Cholesterol,47319,0.0361622059137009,0.0034785884734314,0.0293441725057753,0.0429802393216264,2.9541422290826e-25
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Blood and urine assays,X30700.Creatinine,47313,-0.00797972288102012,0.00394303839447066,-0.0157080781341826,-0.000251367627857628,0.0430075183222066
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Blood and urine assays,X30710.C-reactive protein,47260,0.0474087426406679,0.00369376953704286,0.0401689543480639,0.0546485309332719,1.41263407485421e-37
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Blood and urine assays,X30720.Cystatin C,47316,0.0229470142158057,0.00383509389226713,0.0154302301869621,0.0304637982446492,2.21739344029237e-09
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Blood and urine assays,X30730.Gamma glutamyltransferase,47315,0.0357807135883571,0.00348101887292983,0.0289579165974147,0.0426035105792996,9.94001366303955e-25
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Blood and urine assays,X30740.Glucose,45233,0.0180404082743648,0.00371212832438491,0.0107646367585704,0.0253161797901592,1.18327789309913e-06
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Blood and urine assays,X30750.Glycated haemoglobin (HbA1c),47224,0.0340397530716735,0.00377262120213932,0.0266454155154804,0.0414340906278665,1.9742598934155e-19
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Blood and urine assays,X30760.HDL cholesterol,45244,-0.0347442485119891,0.00412811769951245,-0.0428353592030336,-0.0266531378209447,4.12709783007616e-17
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Blood and urine assays,X30770.IGF-1,47189,-0.00266620860981269,0.0034082221461389,-0.00934632401624494,0.00401390679661956,0.434053945585544
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Blood and urine assays,X30780.LDL direct,47269,0.03670924464823,0.00338229542945652,0.0300799456064953,0.0433385436899648,2.2426568070818e-27
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Blood and urine assays,X30790.Lipoprotein A,42761,-0.00191333581068821,0.00370959495584401,-0.00918414192414247,0.00535747030276605,0.60601412669036
